cws_ID,cws_name,type,dist_system_class,max_treatment_class,principal_county_served,primary_water_source_type,project_water,lat,long,within_legalDelta,latitude,longitude,in_legal_delta,final_lat,final_long
CA0707553,RIVERVIEW MOBILE HOME PARK,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.02741006,-121.9205253,TRUE,38.02741006,-121.9205253
CA0707556,SANDMOUND MUTUAL,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.01150745,-121.6325874,TRUE,38.01150745,-121.6325874
CA0707564,MARIN FOOD SPECIALTIES,NC,D1,T1,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707569,ANGLERS SUBDIVISION 4,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.01780266,-121.6494928,TRUE,38.01780266,-121.6494928
CA0707570,BRIDGEHEAD CAFE,NC,NR,T1,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707572,BETHEL ISLAND MUTUAL WATER CO,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.01458439,-121.6392821,TRUE,38.01458439,-121.6392821
CA0707573,DELTA MUTUAL WATER COMPANY,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,37.99985163,-121.6279776,TRUE,37.99985163,-121.6279776
CA0707575,BETHEL ISLAND MHC,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.0212137,-121.6096269,TRUE,38.0212137,-121.6096269
CA0707576,PLEASANTIMES MUTUAL WATER CO,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.02111967,-121.6142266,TRUE,38.02111967,-121.6142266
CA0707577,RIVERVIEW WATER ASSOCIATION,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.03636554,-121.62571,TRUE,38.03636554,-121.62571
CA0707585,MORAGA HEIGHTS MUTUAL WATER,C,D1,T1,CONTRA COSTA,GW,Neither,NA,NA,NA,37.8331556,-122.1646908,FALSE,37.8331556,-122.1646908
CA0707588,BIG OAK MOBILE HOME PARK WATER,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,37.99155514,-121.6994483,TRUE,37.99155514,-121.6994483
CA0707589,BELLA VISTA WATER SYS,C,D1,There are no treatment plants,CONTRA COSTA,SWP,SWP,n/a,n/a,NA,38.02752686,-121.9217318,TRUE,38.02752686,-121.9217318
CA0707592,SUGAR BARGE MARINA,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707594,CASA MEDANOS WATER SYSTEM,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,38.0121442,-121.8508473,TRUE,38.0121442,-121.8508473
CA0707595,BYRON INN,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707597,SANDY POINT MOBILE HOME PARK,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.00619007,-121.629288,TRUE,38.00619007,-121.629288
CA0707598,CAMINO MOBILEHOME,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,37.87399409,-121.6429529,TRUE,37.87399409,-121.6429529
CA0707601,RUSSOS MOBILE PARK,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.03265801,-121.6212925,TRUE,38.03265801,-121.6212925
CA0707603,CLAYTON PALMS WATER,C,D1,There are no treatment plants,CONTRA COSTA,SWP,SWP,n/a,n/a,NA,37.89411982,-121.7933196,FALSE,37.89411982,-121.7933196
CA0707608,MARINA MOBILE MANOR,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.00997287,-121.6355696,TRUE,38.00997287,-121.6355696
CA0707613,WILLOW MOBILE HOME PARK,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,38.03808657,-121.6298151,TRUE,38.03808657,-121.6298151
CA0707615,DOUBLETREE RANCH WATER SYSTEM,C,D1,T1,CONTRA COSTA,GW,Neither,NA,NA,NA,37.77101685,-121.7845768,FALSE,37.77101685,-121.7845768
CA0707617,WILDWOOD ACRES RESORT,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707620,CANYON SCHOOL,NTNC,D1,T1,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707623,WILCOX STATION RANCH,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,37.82661122,-122.1600931,FALSE,37.82661122,-122.1600931
CA0707630,WILLOWEST MARINA WS,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707639,OLD BORGES RANCH WATER SYS,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707643,EBRPD OLD BRIONES REGIONAL PARK,NC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707644,EBRPD ALHAMBRA,NC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707800,ALL STAR ACADEMY OF DANVILLE,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707900,EBRPD MORGAN TERRITORY,NC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707915,TESS FARM MARKET,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0708000,EBRPD BAY POINT REGIONAL SHORELINE,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0710001,CITY OF ANTIOCH,C,D5,T5,CONTRA COSTA,SW,CVP,37.97981055,-121.7965965,NA,37.97986192,-121.7968237,TRUE,37.97986192,-121.7968237
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,C,D3,T1,CONTRA COSTA,SWP,CVP,38.02903336,-121.9590112,NA,38.02902625,-121.9583123,TRUE,38.02902625,-121.9583123
CA0710003,CONTRA COSTA WATER DISTRICT,C,D5,T5,CONTRA COSTA,SW,CVP,37.95794678,-121.8965605,NA,37.93731389,-121.9141981,TRUE,37.93731389,-121.9141981
CA0710004,BRENTWOOD,C,D5,TD,CONTRA COSTA,SWP,SWP,n/a,n/a,NA,37.93575268,-121.7188756,TRUE,37.93575268,-121.7188756
CA0710006,CITY OF MARTINEZ,C,D3,T5,CONTRA COSTA,SWP,CVP,37.99612361,-122.1218261,NA,37.99610317,-122.1218268,FALSE,37.99610317,-122.1218268
CA0710007,DIABLO WATER DISTRICT,C,D3,T2,CONTRA COSTA,SWP,CVP,37.99278668,-121.69553,NA,37.99295809,-121.6955023,TRUE,37.99295809,-121.6955023
CA0710008,CITY OF PITTSBURG,C,D4,T5,CONTRA COSTA,SWP,CVP,38.01898107,-121.8968998,NA,38.01897795,-121.8968261,TRUE,38.01897795,-121.8968261
CA0710009,TOWN OF DISCOVERY BAY,C,D3,T2,CONTRA COSTA,GW,Neither,NA,NA,NA,37.90711962,-121.6067019,TRUE,37.90711962,-121.6067019
CA0710010,RANDALL-BOLD WATER TREATMENT PLANT,C,NR,T5,CONTRA COSTA,SWP,CVP,37.9799528,-121.7361977,NA,NA,NA,NA,37.9799528,-121.7361977
CA0710011,CCWD/BRENTWOOD WTP,C,NR,T5,CONTRA COSTA,SWP,CVP,37.9798989,-121.734343,NA,NA,NA,NA,37.9798989,-121.734343
CA0710300,MOUNT DIABLO STATE PARK,NC,NR,Operator is not required,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0710800,DWR DELTA FIELD DIVISION - BANKS PP,NTNC,D1,T2,CONTRA COSTA,SW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0790001,EBMUD,NP,NA,There are no treatment plants,CONTRA COSTA,Not listed,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0790002,CENTRAL CONTRA COSTA SANITARY DISTRICT,NP,NA,There are no treatment plants,CONTRA COSTA,Not listed,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0790003,LAMORINDA RECYCLED WATER PROJECT,NP,NA,There are no treatment plants,CONTRA COSTA,Not listed,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0790004,DDSD RECYCLING PROJECT,NP,NA,There are no treatment plants,CONTRA COSTA,Not listed,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0790005,CITY OF BRENTWOOD RECYCLING PROJECT,NP,NA,There are no treatment plants,CONTRA COSTA,Not listed,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0790006,IRONHOUSE SD WATER RECYCLING FACILITY,NP,NA,There are no treatment plants,CONTRA COSTA,Not listed,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0790007,MT. VIEW SANITARY DISTRICT,NP,NA,There are no treatment plants,CONTRA COSTA,Not listed,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0790009,TOWN OF DISCOVERY BAY,NP,NA,There are no treatment plants,CONTRA COSTA,Not listed,Neither,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3400100,ALAMAR MARINA,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400101,HOOD WATER MAINTENCE DIST [SWS],C,D2,T2,SACRAMENTO,GW,Neither,NA,NA,NA,38.36799482,-121.5170284,TRUE,38.36799482,-121.5170284
CA3400103,B & W RESORT MARINA,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.12864567,-121.5795688,TRUE,38.12864567,-121.5795688
CA3400106,EAST WALNUT GROVE [SWS],C,D2,T2,SACRAMENTO,GW,Neither,NA,NA,NA,38.24198078,-121.5123514,TRUE,38.24198078,-121.5123514
CA3400107,RIVER'S EDGE MARINA & RESORT,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.11154858,-121.6125582,TRUE,38.11154858,-121.6125582
CA3400113,CLIFF'S MARINA,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400117,DISCOVERY PARK [SWS],NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400119,EDDO'S HARBOR & R V PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400121,EL DORADO MOBILE HOME PARK,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.48973236,-121.4283702,FALSE,38.48973236,-121.4283702
CA3400122,EL DORADO WEST MHP,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.48974811,-121.4306468,FALSE,38.48974811,-121.4306468
CA3400123,ELKHORN BOAT LAUNCH [SWS],NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400125,FREEPORT MARINA,C,D1,T2,SACRAMENTO,GW,Neither,NA,NA,NA,38.46124535,-121.4993009,TRUE,38.46124535,-121.4993009
CA3400128,HAPPY HARBOR (SWS),C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.10716958,-121.5975815,TRUE,38.10716958,-121.5975815
CA3400130,MAGNOLIA MUTUAL WATER,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.32984354,-121.5706338,TRUE,38.32984354,-121.5706338
CA3400131,ELKHORN I-5 REST AREA,NC,NR,TD,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400133,KO-KET RESORT,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400135,KORTHS PIRATES LAIR,C,D1,T2,SACRAMENTO,GW,Neither,NA,NA,NA,38.09841743,-121.5688011,TRUE,38.09841743,-121.5688011
CA3400137,LINCOLN CHAN-HOME RANCH,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.33259827,-121.5660892,TRUE,38.33259827,-121.5660892
CA3400138,LOCKE WATER WORKS CO [SWS],C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.25075655,-121.508702,TRUE,38.25075655,-121.508702
CA3400139,SACRAMENTO INTERNATIONAL AIRPORT [SWS],NTNC,D4,There are no treatment plants,SACRAMENTO,SWP,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400141,RIVERBOAT MARINA,NC,NR,T2,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400147,PERRY'S BOAT HARBOR,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400149,RANCHO MARINA,C,D1,T2,SACRAMENTO,GW,Neither,NA,NA,NA,38.10613305,-121.5763172,TRUE,38.10613305,-121.5763172
CA3400151,RYDE HOTEL,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400155,SEQUOIA WATER ASSOC,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.33106709,-121.5672935,TRUE,38.33106709,-121.5672935
CA3400156,SOUTHWEST TRACT W M D [SWS],C,D2,There are no treatment plants,SACRAMENTO,GWP,Neither,NA,NA,NA,38.5231842,-121.4465407,FALSE,38.5231842,-121.4465407
CA3400164,"VIEIRA'S RESORT, INC",C,D1,T2,SACRAMENTO,GW,Neither,NA,NA,NA,38.17114964,-121.6396929,TRUE,38.17114964,-121.6396929
CA3400166,WALNUT GROVE MARINA,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400167,WILLOW BERM MARINA,NC,NR,T2,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400169,SPINDRIFT MARINA,C,D1,T2,SACRAMENTO,GW,Neither,NA,NA,NA,38.1080269,-121.5984289,TRUE,38.1080269,-121.5984289
CA3400172,TOKAY PARK WATER CO,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.49743398,-121.4129744,FALSE,38.49743398,-121.4129744
CA3400173,NORTHGATE 880 [SWS],NTNC,D4,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400179,MC CLELLAN MHP,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.65858456,-121.379982,FALSE,38.65858456,-121.379982
CA3400180,BRANCH CENTER [SWS],NTNC,D2,T2,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400181,LAGUNA DEL SOL INC,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.44842276,-121.2002226,FALSE,38.44842276,-121.2002226
CA3400190,IMPERIAL MANOR MOBILEHOME COMMUNITY,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.67648261,-121.3268261,FALSE,38.67648261,-121.3268261
CA3400191,ELEVEN OAKS MOBILE HOME COMMUNITY,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.65640408,-121.3796378,FALSE,38.65640408,-121.3796378
CA3400192,TUNNEL TRAILER PARK,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.22375508,-121.5578763,TRUE,38.22375508,-121.5578763
CA3400201,COUNTRYSIDE DRIVE-IN,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400202,"THE NEW WRANGLER, INC",NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400206,5 BROS (FORMERLY BRANNAN'S ISLAND MARIN),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400208,SAC VALLEY TRUCK STOP,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400217,HOMETOWN COLONIAL ESTATES LLC,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.57556303,-121.3199918,FALSE,38.57556303,-121.3199918
CA3400226,VIRGIN STURGEON,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400229,RIO COSUMNES CORRECTIONAL CENTER [SWS],C,D2,T3,SACRAMENTO,GW,Neither,NA,NA,NA,38.30497243,-121.4246481,FALSE,38.30497243,-121.4246481
CA3400232,RANCHO SECO NGS (SMUD),NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400240,H C MUDDOX CO,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400248,FRANKLIN ELEMENTARY SCHOOL,NTNC,D1,T2,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400250,PLEASANT GROVE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400251,SIERRA ENTERPRISE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400253,COSUMNES RIVER ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400254,DILLARD ELEMENTARY SCHOOL,NTNC,D2,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400267,BATES ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400268,WALNUT GROVE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400271,ARCOHE ELEM SCHOOL - MAIN CAMPUS,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400273,WILTON BIBLE CHURCH,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400278,AMERICAN RIVER COLLEGE,NTNC,D2,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400283,VALLEY HI COUNTRY CLUB,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400286,CORDOVA GOLF COURSE,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400296,SAC CITY MOBILE HOME COMMUNITY LP,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.51332843,-121.4330577,FALSE,38.51332843,-121.4330577
CA3400297,GIBSON RANCH COUNTY PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400302,RANCHO SECO PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400303,DELTA BEACH RESORTS [SWS],NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400331,WESTERNER MOBILE HOME PARK,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.44918866,-121.4084369,FALSE,38.44918866,-121.4084369
CA3400333,SWABBIES,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400334,COURTLAND BOARDWALK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400335,HOLIDAY MOBILE VILLAGE,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,38.48003541,-121.424627,FALSE,38.48003541,-121.424627
CA3400336,BROOKSIDE EQUESTRIAN PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400342,KIEFER LANDFILL [SWS],NTNC,D2,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400356,OWL HARBOR,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400358,"6200 FRANKLIN, LLC (SWS)",NTNC,D1,T2,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA3400364,JEAN HARVIE SCHOOL [SWS],NTNC,D1,T2,SACRAMENTO,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
